chnimp,befile6,affile6,afdec6,chempi,gas,rtwex
220.462,0,0,0,100.1,7.83E+09,86.74
94.798,0,0,0,100.9,8.83E+09,85.63
219.3575,0,0,0,101.1,8.46E+09,85.42
317.4215,0,0,0,102.5,9.24E+09,87.29
114.639,0,0,0,104.1,9.15E+09,86.6
129.524,0,0,0,104.8,9.52E+09,84.63
110.092,0,0,0,104.7,9.77E+09,82.57
39.683,0,0,0,105.8,9.39E+09,82.33
262.823,0,0,0,106.8,9.39E+09,79.45
173.998,0,0,0,107.7,9.61E+09,82.24
548.9455,0,0,0,107.9,1.02E+10,81.94
433.9755,0,0,0,112.5,9.53E+09,81.29
213.7855,0,0,0,113.7,8.20E+09,82.23
788.644,0,0,0,113,8.72E+09,82.53
287.0395,0,0,0,113.2,8.59E+09,83.76
278.9545,0,0,0,114.3,9.00E+09,85.05
429.897,0,0,0,113.2,8.88E+09,84.78
344.882,0,0,0,114.7,9.20E+09,82.17
538.915,0,0,0,116.1,9.05E+09,83
535.718,0,0,0,115.5,8.43E+09,82.64
445.329,0,0,0,115.2,8.52E+09,83.43
649.255,0,0,0,117.2,8.46E+09,84.19
639.335,0,0,0,117.7,9.12E+09,82.84
209.437,0,0,0,118.8,9.13E+09,82.08
512.5915,0,0,0,118.5,8.42E+09,83.18
605.3425,0,0,0,116.4,8.55E+09,87.58
144.236,0,0,0,114,7.96E+09,88.28
405.536,0,0,0,108.6,8.27E+09,84.49
621.1075,0,0,0,104.1,8.32E+09,83.34
893.7185,0,0,0,103.7,8.47E+09,82.12
140.23,0,0,0,107.8,8.46E+09,83.73
243.4765,0,0,0,112.7,8.08E+09,83.13
330.575,0,0,0,114,8.03E+09,84.46
46.586,0,0,0,115.5,8.19E+09,87.13
215.196,0,0,0,119.2,8.70E+09,89.13
214.8385,0,0,0,119.3,8.75E+09,89.28
238.2085,0,0,0,119.8,7.42E+09,93.97
265.6545,0,0,0,119.1,8.12E+09,93.96
315.2515,0,0,0,119.8,7.74E+09,96.16
426.5905,0,0,0,120.2,8.03E+09,100.89
124.786,0,0,0,119,7.90E+09,104.34
387.899,0,0,0,120.7,8.42E+09,107.63
400.54,0,0,0,119.5,8.67E+09,110.35
876.834,0,0,0,117.9,8.32E+09,106.16
535.993,0,0,0,113.8,8.44E+09,103.99
815.9555,0,0,0,111.5,8.34E+09,101.81
771.813,0,0,0,107.9,8.65E+09,102.38
352.873,0,0,0,107.2,8.08E+09,103.62
431.934,0,0,0,109.7,6.99E+09,106.68
1211.452,0,0,0,109.2,7.86E+09,107.97
575.9175,0,0,0,108.2,7.72E+09,109.05
1491.622,0,0,0,105.5,8.27E+09,106.35
380.292,0,0,0,105.3,8.56E+09,112.72
391.5965,0,0,0,105.8,8.88E+09,114.8
505.512,0,0,0,106.6,8.44E+09,115.27
341.022,0,0,0,107,8.27E+09,115.99
372.5765,0,0,0,105.8,8.18E+09,117.74
483.359,0,0,0,105.1,7.94E+09,118.18
224.047,0,0,0,106.8,8.54E+09,112.71
532.394,0,0,0,107.7,7.87E+09,110.89
239.1405,0,0,0,110.3,7.00E+09,112.52
689.4535,0,0,0,112.1,7.80E+09,112.97
318.012,1,0,0,113.6,7.84E+09,114.12
1048.036,1,0,0,115,8.35E+09,114.46
945.7295,1,0,0,117,8.42E+09,117.35
295.372,1,0,0,119,8.78E+09,118.63
319.458,1,0,0,120,8.56E+09,121.49
855.137,1,0,0,122.1,8.34E+09,121.35
671.807,0,0,0,124.5,8.10E+09,118.99
657.9315,0,1,0,123,8.39E+09,121.41
847.9595,0,1,0,121.1,8.24E+09,123.72
849.8735,0,1,0,120.7,7.88E+09,125.86
852.9305,0,1,0,122.5,7.74E+09,122.65
435.837,0,1,0,122.6,8.32E+09,119.03
204.7075,0,1,0,124.4,8.26E+09,120.83
241.5675,0,0,0,124.2,8.70E+09,124.5
244.138,0,0,0,125.9,8.38E+09,125.01
656.4015,0,0,0,126.4,8.48E+09,129.89
588.0975,0,0,0,126.2,8.43E+09,131.04
1128.444,0,0,0,125.8,8.27E+09,136.21
1328.967,0,0,0,124.3,8.36E+09,137.5
227.0635,0,0,1,125.5,8.48E+09,134.71
583.261,0,0,1,124.9,8.60E+09,138.48
499.8935,0,0,1,125.7,7.70E+09,141.3
165.346,0,0,1,125.8,6.96E+09,146.45
1057.972,0,0,1,126.5,7.90E+09,145.85
465.8225,0,0,1,125.8,8.00E+09,137.72
349.404,0,0,0,126.7,8.54E+09,138.2
466.824,0,0,0,126.4,8.56E+09,136.33
717.047,0,0,0,126.4,8.86E+09,130.14
826.758,0,0,0,128.2,8.91E+09,127.31
1571.736,0,0,0,129,7.99E+09,128.87
542.9925,0,0,0,127.9,8.30E+09,121.05
670.7935,0,0,0,128,8.19E+09,118.75
430.2755,0,0,0,128.3,8.69E+09,116.77
524.8625,0,0,0,131.7,8.52E+09,114.76
317.75,0,0,0,132,7.44E+09,109.82
442.8195,0,0,0,130.2,7.92E+09,106.77
322.6325,0,0,0,132.8,8.22E+09,105.93
742.0795,0,0,0,131.5,9.28E+09,103.87
665.366,0,0,0,134.2,8.99E+09,104.91
737.267,0,0,0,134.1,9.13E+09,101.91
1065.211,0,0,0,134.4,9.31E+09,99.42
547.3285,0,0,0,133.9,8.75E+09,99.21
1258.407,0,0,0,133.9,8.69E+09,98.64
