psoda,prpblck,income,prppov,hseval
1.12,17.11542,44534,3.65789,148300
1.06,17.11542,44534,3.65789,148300
1.06,4.73602,41164,8.79072,169200
1.12,5.28394,50366,5.91227,171600
1.12,3.448,72287,2.54145,249100
1.06,5.91327,44515,8.35001,148000
1.17,1.86773,62056,2.92349,212700
1.17,0.4906,53655,3.37599,198800
1.18,92.10559,31314,20.36816,103800
1.17,92.10559,31314,20.36816,103800
1.06,92.10559,31314,20.36816,103800
1.06,92.10559,31314,20.36816,103800
1.05,92.10559,31314,20.36816,103800
1.17,1.39109,38569,8.45399,191300
1.15,1.02124,60657,5.98162,282800
1.27,1.02124,60657,5.98162,282800
1.06,0.60904,47891,3.86507,167700
1.06,0.35406,36705,11.18771,138000
1.06,1.04519,43022,6.08489,166500
1.2,0.73866,79025,1.35908,245400
0.95,0.73866,79025,1.35908,245400
1.11,12.0063,65296,3.22987,198800
1.02,43.36102,56893,7.65275,245900
1.06,2.2127,40719,9.27505,173500
1.27,2.2127,40719,9.27505,173500
1.17,69.63651,33306,16.11239,119300
1.18,5.57306,59266,4.03421,201600
1.06,5.57306,59266,4.03421,201600
1.17,3.23523,57424,2.6696,218600
1.06,3.23523,57424,2.6696,218600
1.12,3.23523,57424,2.6696,218600
1.1,20.46583,30877,16.91744,163000
1.1,0.50961,82797,0.85349,292400
1.06,35.98951,47738,9.31701,175600
1.06,35.98951,47738,9.31701,175600
1.12,35.98951,47738,9.31701,175600
0.96,63.6803,48209,8.16689,142300
1.12,0.48807,53961,1.82062,196500
1.06,0.48807,53961,1.82062,196500
1.1,3.19843,55878,3.67507,209100
1.18,3.19843,55878,3.67507,209100
1.09,0.46135,47113,3.8405,174600
1.01,0.32339,41196,2.3415,186800
1.12,13.1472,62927,1.82582,205000
1.07,1.31481,136529,1.55316,473400
1.06,6.68875,54216,2.78037,161300
1.02,6.68875,54216,2.78037,161300
1.02,3.18239,58339,2.57156,216500
1.06,3.62969,50968,3.34931,176800
1.02,3.62969,50968,3.34931,176800
1.06,3.62969,50968,3.34931,176800
1.06,4.85866,29319,16.76967,165400
1.17,4.85866,29319,16.76967,165400
1.06,4.24391,76689,1.65798,248500
0.96,3.92887,30587,15.83852,160300
1.17,2.35403,59397,5.18435,210800
1.12,4.22394,48350,4.74361,155300
1.06,4.22394,48350,4.74361,155300
1.02,65.99238,20323,32.92359,132300
1.06,89.91615,15919,41.84797,71100
1.06,21.4263,24773,27.03646,146800
1.12,21.4263,24773,27.03646,146800
1.05,6.27508,32241,14.46121,117600
1.06,6.27508,32241,14.46121,117600
1.06,45.54334,24189,27.22042,95400
1.06,45.54334,24189,27.22042,95400
1.18,96.24618,21790,32.79841,81300
1.12,3.5449,44883,5.16433,161800
1.06,3.5449,44883,5.16433,161800
1.02,1.44769,51451,4.9851,185300
1.06,69.82505,35832,12.37119,116600
1.06,37.24901,28417,19.34995,117300
1.19,37.24901,28417,19.34995,117300
0.91,8.81337,31887,13.46107,133700
1.27,38.65509,46803,5.04637,139500
1.06,0.67308,50665,3.34977,159800
1.06,40.58144,46966,6.00893,138500
1.27,11.15545,37367,10.91816,167200
0.91,11.15545,37367,10.91816,167200
1.17,47.66138,29740,23.63158,123400
1.06,47.66138,29740,23.63158,123400
1.19,53.31899,35731,15.97511,124600
1.17,53.31899,35731,15.97511,124600
1.06,15.20273,30577,20.41798,116000
1.06,15.20273,30577,20.41798,116000
1.06,4.62981,34443,15.092,131800
1.06,4.62981,34443,15.092,131800
1.06,0.39605,64818,2.62524,222500
1.04,0.0751,42755,6.39788,128200
1.12,1.66947,51848,3.44314,190900
1.06,1.66947,51848,3.44314,190900
1.27,3.1873,64367,3.5029,275900
1.27,0,56380,3.61626,217400
1.06,0,56380,3.61626,217400
1.02,1.15862,66569,1.52639,215100
1.06,0.47325,61487,2.77091,203100
1.06,0.99893,65000,2.29062,241800
1.06,0.99893,65000,2.29062,241800
1.06,0.99893,65000,2.29062,241800
1.17,0.99893,65000,2.29062,241800
1.06,0.99893,65000,2.29062,241800
1.06,0.99893,65000,2.29062,241800
1.06,36.94827,21978,28.51345,107000
1.17,54.22576,31639,12.85608,142200
1.06,48.59012,26039,22.14113,111100
1.12,24.98173,46255,6.98492,186900
1.17,24.98173,46255,6.98492,186900
1.12,24.98173,46255,6.98492,186900
1.1,24.98173,46255,6.98492,186900
1.17,0.66904,52919,2.50457,204700
1.12,0.66904,52919,2.50457,204700
1.06,1.96445,44018,6.04782,195200
1.02,1.96445,44018,6.04782,195200
1.2,3.94043,51288,3.31476,183500
1.06,1.24784,67716,1.80528,270800
1.12,3.08927,51561,4.39196,185100
1.06,2.82081,40760,6.12684,176500
1.06,1.25818,53168,2.2337,207300
1.06,0.24702,66939,2.17573,276300
0.95,0.44543,62509,3.03532,245400
1.12,0.44543,62509,3.03532,245400
