date,tbill,AAA,A-,BBB-,BB-
01-12-98,0.0815,0.0879,0.0978,0.1175,0.1175
07-12-98,0.0724,0.0812,0.0906,0.1103,0.1103
09-12-98,0.073,0.0803,0.0897,0.1094,0.1094
10-12-98,0.071,0.0773,0.0867,0.1064,0.1064
11-12-98,0.0703,0.0761,0.0855,0.1052,0.1052
12-12-98,0.0702,0.076,0.0854,0.1051,0.1051
13-12-98,0.0702,0.076,0.0854,0.1051,0.1051
14-12-98,0.0681,0.074,0.0827,0.1016,0.1016
15-12-98,0.0694,0.0752,0.0839,0.1028,0.1028
16-12-98,0.0702,0.0763,0.085,0.1039,0.1039
17-12-98,0.0702,0.0764,0.0851,0.104,0.104
18-12-98,0.0711,0.0772,0.0859,0.1048,0.1048
19-12-98,0.0711,0.0774,0.0861,0.105,0.105
20-12-98,0.0711,0.0774,0.0861,0.105,0.105
21-12-98,0.0709,0.0773,0.0861,0.1047,0.1047
22-12-98,0.0708,0.0773,0.0861,0.1047,0.1047
23-12-98,0.07,0.0772,0.086,0.1046,0.1046
24-12-98,0.0695,0.0768,0.0856,0.1042,0.1042
25-12-98,0.0695,0.0768,0.0856,0.1042,0.1042
26-12-98,0.0695,0.0766,0.0854,0.104,0.104
27-12-98,0.0695,0.0766,0.0854,0.104,0.104
28-12-98,0.0695,0.0765,0.0853,0.1044,0.1044
29-12-98,0.0695,0.0765,0.0853,0.1044,0.1044
30-12-98,0.0695,0.0765,0.0853,0.1044,0.1044
31-12-98,0.0695,0.0765,0.0853,0.1044,0.1044
01-1-99,0.0695,0.0765,0.0853,0.1044,0.1044
02-1-99,0.0695,0.0765,0.0853,0.1044,0.1044
03-1-99,0.0695,0.0765,0.0853,0.1044,0.1044
04-1-99,0.0678,0.0759,0.0847,0.104,0.104
05-1-99,0.0639,0.0737,0.0825,0.1018,0.1018
06-1-99,0.0628,0.0729,0.0817,0.101,0.101
07-1-99,0.0597,0.0694,0.0782,0.0975,0.0975
08-1-99,0.0593,0.0683,0.0771,0.0964,0.0964
09-1-99,0.0593,0.0683,0.0771,0.0964,0.0964
10-1-99,0.0593,0.0683,0.0771,0.0964,0.0964
11-1-99,0.0604,0.0679,0.0766,0.0953,0.0953
12-1-99,0.0629,0.069,0.0777,0.0964,0.0964
13-1-99,0.0632,0.0697,0.0784,0.0971,0.0971
14-1-99,0.0658,0.0746,0.0833,0.102,0.102
15-1-99,0.0649,0.0747,0.0834,0.1021,0.1021
16-1-99,0.0649,0.0747,0.0834,0.1021,0.1021
17-1-99,0.0649,0.0747,0.0834,0.1021,0.1021
