prepop,mincov,usgnp
0.47,0.099995,1203.7
0.449,0.1055195,1328.2
0.434,0.1207838,1380
0.428,0.1496688,1435.3
0.415,0.1380157,1416.2
0.419,0.1592029,1494.9
0.412,0.1822213,1525.6
0.412,0.1738277,1551.1
0.397,0.1844832,1539.2
0.394,0.1937643,1629.1
0.403,0.198,1665.3
0.397,0.1869166,1708.7
0.385,0.211418,1799.4
0.395,0.1947075,1873.3
0.396,0.216815,1973.3
0.401,0.2141735,2087.6
0.399,0.2943913,2208.3
0.399,0.3172925,2271.4
0.403,0.3322222,2365.6
0.399,0.3136143,2423.3
0.428,0.2983416,2416.2
0.423,0.2810894,2484.8
0.423,0.263243,2608.5
0.421,0.2500763,2744.1
0.405,0.3729462,2729.3
0.368,0.4337915,2695
0.364,0.4460992,2826.7
0.358,0.4289844,2958.6
0.362,0.4500042,3115.2
0.36,0.4581198,3192.4
0.359,0.4546055,3187.1
0.343,0.4582559,3248.8
0.318,0.4477594,3166
0.321,0.4382967,3279.1
0.334,0.4364384,3501.4
0.331,0.4248959,3607.5
0.351,0.4119259,3713.3
0.369,0.3996105,3819.6
