year,pop,rent,avginc,pctstu
80,75211,197,11537,20.34676
90,77759,342,19568,23.17031
80,106743,323,19841,21.04307
90,141865,496,31885,20.98403
80,36608,216,11455,32.36178
90,42099,351,21202,24.383
80,36640,267,14682,37.73199
90,46209,588,29044,39.32784
80,62134,475,31300,13.15705
90,110330,925,56307,16.5005
80,118550,276,16291,10.31042
90,132605,630,35103,11.45658
80,76685,302,16744,27.02484
90,83312,521,29407,29.77842
80,65092,257,15773,26.32274
90,87758,422,26826,24.35903
80,126109,253,11683,12.69457
90,130474,568,25811,14.57149
80,81371,242,12586,30.14342
90,84770,383,21077,30.70308
80,81548,228,11750,27.87929
90,124773,444,23453,27.23346
80,42549,187,10018,34.93149
90,45734,347,14286,40.2239
80,58133,243,14894,33.59882
90,63502,422,22967,33.18006
80,73706,336,21715,16.5726
90,73233,636,22346,20.32827
80,52044,210,10933,49.4178
90,60633,403,18393,49.28999
80,77216,195,13459,17.63624
90,71305,325,19353,22.15693
80,45775,251,16104,44.70781
90,47198,404,24636,45.79643
80,50508,234,14417,36.2299
90,59738,414,24565,39.35184
80,52738,248,13180,36.61117
90,65608,415,22900,34.30679
80,32644,224,13030,28.34518
90,37712,396,21531,32.41143
80,40450,194,12195,21.13968
90,40641,332,20043,17.43559
80,219419,239,15158,11.27159
90,219531,354,21898,13.36167
80,95322,257,14211,24.55152
90,95802,538,33140,25.43162
80,51392,248,15000,62.82885
90,50677,451,24719,63.23184
80,79722,232,14620,21.75058
90,80277,403,23207,22.8596
80,107966,309,18316,32.99928
90,109592,568,33344,32.91664
80,42566,238,15367,20.13579
90,48812,399,24004,24.35672
80,40829,197,10983,18.10478
90,41882,304,21174,20.77981
80,62061,236,13651,35.77448
90,69101,382,22059,32.07768
80,171932,231,17094,14.53656
90,191972,379,28056,15.42725
80,45086,215,13593,12.52052
90,62126,366,23648,14.48991
80,28732,230,10294,49.32827
90,29541,493,25152,55.38404
80,101727,212,12511,14.33936
90,101082,456,17738,17.44623
80,170105,210,12321,12.42703
90,163860,409,21242,14.4654
80,32421,256,15744,44.22442
90,38719,489,30489,39.66786
80,100831,225,12845,14.74051
90,136611,440,24354,13.53185
80,150255,255,17022,10.98
90,207951,479,32451,14.01195
80,35740,231,13471,29.27532
90,44972,374,12206,27.72836
80,61383,228,17065,13.90287
90,74111,355,25326,16.10827
80,43765,216,16009,18.18576
90,49425,367,25456,21.23217
80,25728,252,13521,53.59531
90,28176,393,21766,51.08603
80,26164,248,13891,38.33512
90,28835,401,21463,43.73504
80,68020,244,15555,24.53543
90,80071,362,25165,22.16908
80,38268,219,11102,47.29278
90,36676,354,18501,40.82233
80,40960,245,13621,39.23828
90,44757,385,23212,35.46261
80,105624,249,14959,18.1578
90,112669,425,25369,19.02919
80,564871,225,14834,10.35617
90,632910,422,26651,11.69945
80,36130,266,9771,67.41766
90,38923,490,18257,71.20982
80,101208,203,12393,17.1192
90,98052,392,23216,17.65594
80,175030,203,11971,13.02748
90,165121,332,19923,13.08374
80,32845,226,14295,19.7747
90,44922,388,26394,18.24496
80,37272,282,9789,60.5146
90,52456,428,9262,59.5013
80,173979,245,15732,13.44817
90,186206,381,24130,15.21004
80,27149,194,11713,28.20362
90,30872,346,15917,32.35942
80,101261,207,12007,12.72257
90,103590,353,17852,15.74283
80,26844,198,12693,29.29146
90,32762,328,21312,28.17899
80,74108,186,12647,36.33346
90,86835,336,21162,35.97167
80,37312,243,13048,23.31421
90,39127,493,25523,25.48624
80,39916,268,13942,22.19661
90,40341,469,18592,23.93843
80,63684,204,12540,9.941273
90,54844,311,18276,12.78718
80,27605,220,10994,42.62996
90,25879,355,18022,45.86731
80,51509,225,14457,18.65693
90,56856,352,24735,18.71394
80,48347,220,13458,18.72091
90,51003,344,21947,19.53022
80,170616,243,16510,21.96453
90,191262,472,29420,23.31932
