prcfat,t,wkends,spdlaw,beltlaw,unem,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
0.9009899,1,14,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0
0.9130266,2,12,0,0,8,1,0,0,0,0,0,0,0,0,0,0
0.914997,3,13,0,0,7.4,0,1,0,0,0,0,0,0,0,0,0
0.9788058,4,12,0,0,7.2,0,0,1,0,0,0,0,0,0,0,0
0.9145713,5,15,0,0,6.1,0,0,0,1,0,0,0,0,0,0,0
1.084833,6,12,0,0,6.7,0,0,0,0,1,0,0,0,0,0,0
1.216828,7,13,0,0,7.4,0,0,0,0,0,1,0,0,0,0,0
1.178583,8,14,0,0,6.9,0,0,0,0,0,0,1,0,0,0,0
1.045443,9,12,0,0,7,0,0,0,0,0,0,0,1,0,0,0
0.9858393,10,14,0,0,7.6,0,0,0,0,0,0,0,0,1,0,0
0.9065444,11,13,0,0,7.8,0,0,0,0,0,0,0,0,0,1,0
0.9009916,12,12,0,0,8.6,0,0,0,0,0,0,0,0,0,0,1
0.7580715,13,15,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0
0.8226551,14,12,0,0,9.6,1,0,0,0,0,0,0,0,0,0,0
0.8405397,15,12,0,0,9.7,0,1,0,0,0,0,0,0,0,0,0
0.9271705,16,13,0,0,9.4,0,0,1,0,0,0,0,0,0,0,0
0.9021532,17,14,0,0,9,0,0,0,1,0,0,0,0,0,0,0
1.007339,18,12,0,0,9.4,0,0,0,0,1,0,0,0,0,0,0
0.9769335,19,14,0,0,10.7,0,0,0,0,0,1,0,0,0,0,0
1.022489,20,13,0,0,10.2,0,0,0,0,0,0,1,0,0,0,0
1.070914,21,12,0,0,9.7,0,0,0,0,0,0,0,1,0,0,0
1.011312,22,15,0,0,10.3,0,0,0,0,0,0,0,0,1,0,0
0.8611324,23,12,0,0,11,0,0,0,0,0,0,0,0,0,1,0
0.8557043,24,13,0,0,11,0,0,0,0,0,0,0,0,0,0,1
0.7311631,25,14,0,0,11.7,0,0,0,0,0,0,0,0,0,0,0
0.7409264,26,12,0,0,11.9,1,0,0,0,0,0,0,0,0,0,0
0.7632453,27,12,0,0,10.9,0,1,0,0,0,0,0,0,0,0,0
0.8699968,28,14,0,0,9.9,0,0,1,0,0,0,0,0,0,0,0
0.9878502,29,13,0,0,9.9,0,0,0,1,0,0,0,0,0,0,0
0.9272842,30,12,0,0,10.1,0,0,0,0,1,0,0,0,0,0,0
1.001442,31,15,0,0,9.5,0,0,0,0,0,1,0,0,0,0,0
1.028812,32,14,0,0,9.5,0,0,0,0,0,0,1,0,0,0,0
1.006516,33,13,0,0,8.3,0,0,0,0,0,0,0,1,0,0,0
0.8803432,34,14,0,0,8.1,0,0,0,0,0,0,0,0,1,0,0
0.7882747,35,12,0,0,8.2,0,0,0,0,0,0,0,0,0,1,0
0.8001288,36,14,0,0,8,0,0,0,0,0,0,0,0,0,0,1
0.9080075,37,13,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0
0.8803067,38,12,0,0,8.8,1,0,0,0,0,0,0,0,0,0,0
